Name,Salary,Position,Age,Block,Steal,Assist,Two Points,Three Points
Doug McDermott,3294994,SF,25,0.07575757575757576,0.19696969696969696,0.8787878787878788,2.196969696969697,1.1666666666666667
Dragan Bender,4468800,PF,19,0.5116279069767442,0.23255813953488372,0.5348837209302325,0.6744186046511628,0.6511627906976745
Draymond Green,16400000,PF,26,1.394736842105263,2.026315789473684,7.0131578947368425,2.513157894736842,1.0657894736842106
Dwight Howard,23500000,C,31,1.2432432432432432,0.8648648648648649,1.4054054054054055,5.243243243243243,0.0
Dwight Powell,9003125,C,25,0.5064935064935064,0.7922077922077922,0.6363636363636364,2.2467532467532467,0.2727272727272727
Dwyane Wade,15550000,SG,35,0.6833333333333333,1.4333333333333333,3.816666666666667,6.15,0.75
Ed Davis,6352531,PF,27,0.4782608695652174,0.32608695652173914,0.5869565217391305,1.6304347826086956,0.0
Elfrid Payton,3332340,PG,22,0.4878048780487805,1.0731707317073171,6.451219512195122,4.7560975609756095,0.4878048780487805
Emmanuel Mudiay,3381480,PG,20,0.23636363636363636,0.7454545454545455,3.9454545454545453,2.7636363636363637,1.018181818181818
Enes Kanter,20566802,C,24,0.5277777777777778,0.4444444444444444,0.9305555555555556,5.513888888888889,0.06944444444444445
Eric Bledsoe,14500000,PG,27,0.4696969696969697,1.393939393939394,6.333333333333333,5.2272727272727275,1.5757575757575757
Eric Gordon,12943020,SG,28,0.5333333333333333,0.64,2.506666666666667,2.2133333333333334,3.28
Ersan Ilyasova,6000000,PF,29,0.2804878048780488,0.7073170731707317,1.7195121951219512,2.951219512195122,1.7317073170731707
Evan Fournier,17000000,SG,24,0.058823529411764705,0.9705882352941176,2.9705882352941178,4.117647058823529,1.8823529411764706
Evan Turner,17131148,SF,28,0.36923076923076925,0.8153846153846154,3.1538461538461537,3.1384615384615384,0.47692307692307695
Frank Kaminsky,2847600,C,23,0.4533333333333333,0.6266666666666667,2.16,2.72,1.5466666666666666
Fred VanVleet,1312611,PG,22,0.05405405405405406,0.4594594594594595,0.9459459459459459,0.7567567567567568,0.2972972972972973
Garrett Temple,8000000,SG,30,0.4307692307692308,1.2923076923076924,2.6,1.5538461538461539,1.2615384615384615
Gary Harris,2550055,SG,22,0.14035087719298245,1.2456140350877194,2.8771929824561404,3.736842105263158,1.8771929824561404
George Hill,20000000,PG,30,0.22448979591836735,1.0204081632653061,4.142857142857143,3.979591836734694,1.9183673469387754
Georges Niang,100000,PF,23,0.0,0.13043478260869565,0.21739130434782608,0.34782608695652173,0.043478260869565216
Georgios Papagiannis,2301360,C,19,0.7727272727272727,0.13636363636363635,0.9090909090909091,2.5454545454545454,0.0
Gerald Henderson,1000000,SG,29,0.20833333333333334,0.5694444444444444,1.5555555555555556,2.4027777777777777,0.8472222222222222
Giannis Antetokounmpo,22471910,SF,22,1.8875,1.6375,5.425,7.5875,0.6125
Glenn Robinson,1524305,SF,23,0.2898550724637681,0.5942028985507246,0.6811594202898551,1.5797101449275361,0.7101449275362319
Goran Dragic,17000450,PG,30,0.1780821917808219,1.2191780821917808,5.794520547945205,5.712328767123288,1.6027397260273972
Gordon Hayward,29727900,SF,26,0.273972602739726,1.0,3.452054794520548,5.424657534246576,2.041095890410959
Gorgui Dieng,14112360,PF,27,1.1585365853658536,1.0731707317073171,1.9268292682926829,3.8536585365853657,0.1951219512195122
Greg Monroe,17884176,C,26,0.4691358024691358,1.1358024691358024,2.308641975308642,4.777777777777778,0.0
Harrison Barnes,23112004,PF,24,0.189873417721519,0.8354430379746836,1.481012658227848,6.594936708860759,0.9873417721518988
Hassan Whiteside,23775506,C,27,2.090909090909091,0.7272727272727273,0.7402597402597403,7.038961038961039,0.0
Henry Ellenson,1780800,PF,20,0.05263157894736842,0.05263157894736842,0.3684210526315789,0.6842105263157895,0.5263157894736842
Ian Clark,1577230,SG,25,0.1038961038961039,0.5064935064935064,1.1688311688311688,1.948051948051948,0.7922077922077922
Ian Mahinmi,16661641,C,30,0.7741935483870968,1.064516129032258,0.6129032258064516,2.096774193548387,0.0
Iman Shumpert,10337079,SG,26,0.35526315789473684,0.8157894736842105,1.4342105263157894,1.4078947368421053,1.236842105263158
Isaiah Canaan,200000,SG,25,0.02564102564102564,0.5641025641025641,0.9487179487179487,0.9743589743589743,0.6410256410256411
